id,x,y,label
1,1.213,0.694,normal
2,1.109,1.238,normal
3,1.055,0.899,normal
4,0.406,0.576,normal
5,1.169,1.223,normal
6,1.114,0.505,normal
7,0.693,0.874,normal
8,1.508,1.486,normal
9,1.232,1.242,normal
10,0.882,0.809,normal
11,0.659,1.21,normal
12,1.15,0.975,normal
13,1.558,0.711,normal
14,0.691,0.953,normal
15,1.209,0.927,normal
16,0.988,0.842,normal
17,1.058,1.282,normal
18,1.047,0.659,normal
19,1.108,0.787,normal
20,0.963,1.049,normal
21,0.923,0.532,normal
22,0.757,1.228,normal
23,1.098,1.305,normal
24,1.338,1.25,normal
25,1.153,1.111,normal
26,1.135,0.178,normal
27,1.091,0.339,normal
28,0.993,0.529,normal
29,0.996,1.214,normal
30,0.849,0.852,normal
31,0.736,0.845,normal
32,1.235,0.778,normal
33,0.64,1.249,normal
34,1.162,0.881,normal
35,0.961,0.894,normal
36,1.739,1.047,normal
37,0.597,0.875,normal
38,1.02,1.005,normal
39,1.068,0.8,normal
40,0.873,1.597,normal
41,1.215,0.491,normal
42,1.244,0.84,normal
43,1.31,1.175,normal
44,0.837,0.834,normal
45,1.239,0.864,normal
46,0.812,1.269,normal
47,1.166,1.573,normal
48,0.834,0.294,normal
49,1.364,0.868,normal
50,1.008,-0.013,normal
51,0.929,0.616,normal
52,1.586,0.475,normal
53,0.772,1.07,normal
54,1.234,1.502,normal
55,1.216,1.227,normal
56,1.218,0.758,normal
57,0.803,1.057,normal
58,1.397,1.567,normal
59,0.993,0.899,normal
60,0.973,0.939,normal
61,1.579,0.711,normal
62,0.79,1.547,normal
63,0.594,0.756,normal
64,1.223,0.968,normal
65,0.836,0.767,normal
66,1.505,0.592,normal
67,1.11,1.51,normal
68,0.701,1.131,normal
69,1.215,1.092,normal
70,1.344,1.207,normal
71,1.323,1.224,normal
72,0.768,0.861,normal
73,0.918,1.112,normal
74,0.787,1.448,normal
75,1.584,1.092,normal
76,1.251,0.842,normal
77,1.461,0.919,normal
78,0.597,1.476,normal
79,1.085,0.801,normal
80,1.231,0.966,normal
81,1.084,0.838,normal
82,1.137,1.349,normal
83,0.547,0.967,normal
84,1.133,0.661,normal
85,1.002,1.144,normal
86,1.22,1.115,normal
87,1.384,0.621,normal
88,1.442,0.783,normal
89,1.229,0.715,normal
90,1.112,1.517,normal
91,0.591,1.281,normal
92,1.409,0.991,normal
93,1.468,0.801,normal
94,0.775,0.896,normal
95,1.431,1.035,normal
96,1.08,1.341,normal
97,1.854,0.958,normal
98,0.55,1.355,normal
99,0.671,0.997,normal
100,0.615,0.891,normal
101,1.473,0.409,normal
102,0.877,0.315,normal
103,0.903,1.017,normal
104,1.028,1.711,normal
105,0.509,0.719,normal
106,0.665,0.956,normal
107,0.463,0.436,normal
108,1.096,1.075,normal
109,1.331,1.014,normal
110,0.85,0.244,normal
111,1.923,1.265,normal
112,1.352,0.746,normal
113,0.561,0.979,normal
114,1.25,0.789,normal
115,0.956,0.771,normal
116,0.953,1.129,normal
117,1.181,0.907,normal
118,1.047,1.37,normal
119,1.163,1.009,normal
120,0.551,1.442,normal
121,0.673,1.136,normal
122,1.275,0.876,normal
123,0.992,0.843,normal
124,0.555,1.046,normal
125,1.351,0.953,normal
126,1.127,0.959,normal
127,1.425,0.879,normal
128,1.175,0.722,normal
129,0.615,0.985,normal
130,0.59,1.425,normal
131,1.379,1.008,normal
132,1.203,1.094,normal
133,0.967,0.7,normal
134,0.751,0.612,normal
135,0.919,1.336,normal
136,0.826,1.121,normal
137,1.432,1.086,normal
138,0.82,1.103,normal
139,1.176,1.053,normal
140,1.201,0.895,normal
141,1.439,0.896,normal
142,0.689,1.486,normal
143,0.817,1.543,normal
144,1.031,1.154,normal
145,0.955,1.018,normal
146,1.335,1.006,normal
147,1.076,1.134,normal
148,0.945,0.61,normal
149,1.42,0.542,normal
150,0.41,1.222,normal
151,0.915,0.899,normal
152,0.804,1.128,normal
153,0.887,1.387,normal
154,1.178,1.201,normal
155,0.555,1.053,normal
156,0.913,0.67,normal
157,1.414,0.887,normal
158,0.753,0.864,normal
159,1.054,0.581,normal
160,1.028,1.493,normal
161,1.414,0.92,normal
162,1.028,0.751,normal
163,0.439,1.162,normal
164,0.879,1.063,normal
165,0.767,1.334,normal
166,1.053,1.596,normal
167,1.231,0.454,normal
168,0.853,1.056,normal
169,0.732,0.798,normal
170,1.664,1.181,normal
171,0.794,1.445,normal
172,1.141,0.59,normal
173,0.591,0.96,normal
174,1.147,0.944,normal
175,1.185,1.034,normal
176,1.364,1.087,normal
177,0.956,0.564,normal
178,1.263,1.073,normal
179,0.948,0.559,normal
180,0.292,1.404,normal
181,0.935,0.887,normal
182,0.438,1.033,normal
183,1.364,1.259,normal
184,1.031,1.279,normal
185,0.768,0.746,normal
186,1.063,0.758,normal
187,0.715,0.921,normal
188,1.471,0.628,normal
189,0.332,0.674,normal
190,1.226,1.29,normal
191,0.933,1.637,normal
192,0.539,0.623,normal
193,0.985,0.862,normal
194,1.185,0.928,normal
195,1.283,1.422,normal
196,1.274,0.974,normal
197,1.02,1.104,normal
198,1.187,1.566,normal
199,1.326,0.86,normal
200,0.906,1.111,normal
201,1.173,1.086,normal
202,1.372,0.761,normal
203,1.374,1.218,normal
204,0.852,1.094,normal
205,1.038,0.883,normal
206,1.302,0.469,normal
207,0.58,1.128,normal
208,0.803,1.162,normal
209,1.091,1.037,normal
210,0.978,0.43,normal
211,1.087,0.956,normal
212,0.361,1.145,normal
213,1.431,1.203,normal
214,0.723,0.704,normal
215,1.074,0.863,normal
216,0.577,1.02,normal
217,1.264,1.017,normal
218,0.871,1.182,normal
219,0.492,1.122,normal
220,1.326,0.346,normal
221,1.379,1.136,normal
222,0.433,1.338,normal
223,0.782,0.605,normal
224,0.974,0.447,normal
225,0.376,1.243,normal
226,1.3,1.175,normal
227,0.731,0.986,normal
228,0.905,1.377,normal
229,0.989,0.973,normal
230,1.064,0.592,normal
231,0.855,0.74,normal
232,0.681,1.072,normal
233,1.552,1.017,normal
